[2025-07-31T21:01:20.498+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-31T21:01:20.531+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_monitoring_dag.check_drift_and_trigger scheduled__2025-07-31T20:00:00+00:00 [queued]>
[2025-07-31T21:01:20.541+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_monitoring_dag.check_drift_and_trigger scheduled__2025-07-31T20:00:00+00:00 [queued]>
[2025-07-31T21:01:20.543+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 2
[2025-07-31T21:01:20.559+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): check_drift_and_trigger> on 2025-07-31 20:00:00+00:00
[2025-07-31T21:01:20.576+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=17735) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-31T21:01:20.575+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'drift_monitoring_dag', 'check_drift_and_trigger', 'scheduled__2025-07-31T20:00:00+00:00', '--job-id', '253', '--raw', '--subdir', 'DAGS_FOLDER/drift_monitoring.py', '--cfg-path', '/tmp/tmpk1ynj1qd']
[2025-07-31T21:01:20.577+0000] {standard_task_runner.py:63} INFO - Started process 17811 to run task
[2025-07-31T21:01:20.578+0000] {standard_task_runner.py:91} INFO - Job 253: Subtask check_drift_and_trigger
[2025-07-31T21:01:20.592+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-07-31T21:01:20.629+0000] {task_command.py:426} INFO - Running <TaskInstance: drift_monitoring_dag.check_drift_and_trigger scheduled__2025-07-31T20:00:00+00:00 [running]> on host 44c57df83f33
[2025-07-31T21:01:20.739+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='drift_monitoring_dag' AIRFLOW_CTX_TASK_ID='check_drift_and_trigger' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T20:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-07-31T20:00:00+00:00'
[2025-07-31T21:01:20.741+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-31T21:01:20.771+0000] {drift_monitoring.py:59} WARNING - File not found: s3://crypto-mlops-bucket/predictions/date=2025-07-31/hour=21/prediction.parquet
[2025-07-31T21:01:20.780+0000] {drift_monitoring.py:59} WARNING - File not found: s3://crypto-mlops-bucket/targets/date=2025-07-31/hour=21/target.parquet
[2025-07-31T21:01:20.826+0000] {drift_monitoring.py:59} WARNING - File not found: s3://crypto-mlops-bucket/targets/date=2025-07-31/hour=20/target.parquet
[2025-07-31T21:01:20.863+0000] {drift_monitoring.py:59} WARNING - File not found: s3://crypto-mlops-bucket/predictions/date=2025-07-31/hour=18/prediction.parquet
