[2025-07-31T14:08:11.620+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-31T14:08:11.682+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_monitoring_dag.check_drift_and_trigger scheduled__2025-07-31T13:00:00+00:00 [queued]>
[2025-07-31T14:08:11.698+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_monitoring_dag.check_drift_and_trigger scheduled__2025-07-31T13:00:00+00:00 [queued]>
[2025-07-31T14:08:11.699+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 2
[2025-07-31T14:08:11.723+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): check_drift_and_trigger> on 2025-07-31 13:00:00+00:00
[2025-07-31T14:08:11.750+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'drift_monitoring_dag', 'check_drift_and_trigger', 'scheduled__2025-07-31T13:00:00+00:00', '--job-id', '213', '--raw', '--subdir', 'DAGS_FOLDER/drift_monitoring.py', '--cfg-path', '/tmp/tmpl_0cwdp5']
[2025-07-31T14:08:11.759+0000] {standard_task_runner.py:91} INFO - Job 213: Subtask check_drift_and_trigger
[2025-07-31T14:08:11.760+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=5935) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-31T14:08:11.761+0000] {standard_task_runner.py:63} INFO - Started process 6021 to run task
[2025-07-31T14:08:11.785+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-07-31T14:08:11.849+0000] {task_command.py:426} INFO - Running <TaskInstance: drift_monitoring_dag.check_drift_and_trigger scheduled__2025-07-31T13:00:00+00:00 [running]> on host 44c57df83f33
