[2025-07-31T21:22:58.033+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-31T21:22:58.074+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_monitoring_dag.check_drift_and_trigger manual__2025-07-31T21:17:44.200491+00:00 [queued]>
[2025-07-31T21:22:58.086+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_monitoring_dag.check_drift_and_trigger manual__2025-07-31T21:17:44.200491+00:00 [queued]>
[2025-07-31T21:22:58.102+0000] {taskinstance.py:2303} INFO - Starting attempt 2 of 2
[2025-07-31T21:22:58.120+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): check_drift_and_trigger> on 2025-07-31 21:17:44.200491+00:00
[2025-07-31T21:22:58.142+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=20621) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-31T21:22:58.144+0000] {standard_task_runner.py:63} INFO - Started process 20641 to run task
[2025-07-31T21:22:58.141+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'drift_monitoring_dag', 'check_drift_and_trigger', 'manual__2025-07-31T21:17:44.200491+00:00', '--job-id', '264', '--raw', '--subdir', 'DAGS_FOLDER/drift_monitoring.py', '--cfg-path', '/tmp/tmpl5t6rl7x']
[2025-07-31T21:22:58.145+0000] {standard_task_runner.py:91} INFO - Job 264: Subtask check_drift_and_trigger
[2025-07-31T21:22:58.182+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-07-31T21:22:58.230+0000] {task_command.py:426} INFO - Running <TaskInstance: drift_monitoring_dag.check_drift_and_trigger manual__2025-07-31T21:17:44.200491+00:00 [running]> on host 44c57df83f33
[2025-07-31T21:22:58.371+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='drift_monitoring_dag' AIRFLOW_CTX_TASK_ID='check_drift_and_trigger' AIRFLOW_CTX_EXECUTION_DATE='2025-07-31T21:17:44.200491+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-07-31T21:17:44.200491+00:00'
[2025-07-31T21:22:58.373+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-07-31T21:22:58.450+0000] {drift_monitoring.py:59} WARNING - File not found: s3://crypto-mlops-bucket/targets/date=2025-07-31/hour=21/target.parquet
[2025-07-31T21:22:58.518+0000] {drift_monitoring.py:59} WARNING - File not found: s3://crypto-mlops-bucket/predictions/date=2025-07-31/hour=18/prediction.parquet
