[2025-07-31T15:28:11.492+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-31T15:28:11.545+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: drift_monitoring_dag.check_drift_and_trigger scheduled__2025-07-31T14:00:00+00:00 [queued]>
[2025-07-31T15:28:11.558+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: drift_monitoring_dag.check_drift_and_trigger scheduled__2025-07-31T14:00:00+00:00 [queued]>
[2025-07-31T15:28:11.592+0000] {taskinstance.py:2303} INFO - Starting attempt 2 of 2
[2025-07-31T15:28:11.617+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): check_drift_and_trigger> on 2025-07-31 14:00:00+00:00
[2025-07-31T15:28:11.643+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=9095) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-07-31T15:28:11.641+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'drift_monitoring_dag', 'check_drift_and_trigger', 'scheduled__2025-07-31T14:00:00+00:00', '--job-id', '222', '--raw', '--subdir', 'DAGS_FOLDER/drift_monitoring.py', '--cfg-path', '/tmp/tmp8l1p6reo']
[2025-07-31T15:28:11.645+0000] {standard_task_runner.py:63} INFO - Started process 9113 to run task
[2025-07-31T15:28:11.646+0000] {standard_task_runner.py:91} INFO - Job 222: Subtask check_drift_and_trigger
[2025-07-31T15:28:11.701+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/settings.py:195 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2025-07-31T15:28:11.760+0000] {task_command.py:426} INFO - Running <TaskInstance: drift_monitoring_dag.check_drift_and_trigger scheduled__2025-07-31T14:00:00+00:00 [running]> on host 44c57df83f33
